benchmark_set,qid,hop_count,gold_documents_count,gold_chunks_count,gold_spans_count,spans_verbatim_verified,references_doc034,references_doc086,contamination_flag,question_excerpt
dev,Q001,1,1,1,1,True,False,False,CLEAN,根据《食品安全法》，生产经营添加药品的食品，货值金额一万元以上的，应当面临何种倍数的罚款？有何法定例外？
dev,Q002,1,1,1,1,True,False,False,CLEAN,根据《药品管理法》，法律明确界定为假药的情形包括哪些？
dev,Q003,1,1,1,1,True,False,False,CLEAN,根据《疫苗管理法》，国家对疫苗追溯实行何种制度？上市许可持有人承担什么义务？
dev,Q004,1,1,1,1,True,False,False,CLEAN,根据《职业病防治法》，用人单位工作场所存在职业病危害因素的，应当向哪个部门申报职业病危害项目？
dev,Q005,1,1,1,1,True,False,False,CLEAN,根据《传染病防治法》，法定的甲类传染病包括哪些病种？
dev,Q006,1,1,1,1,True,False,False,CLEAN,根据《基本医疗卫生与健康促进法》，政府举办的非营利性医疗卫生机构在收益分配和结余上有何禁止性要求？
dev,Q007,1,1,1,1,True,False,False,CLEAN,根据《放射性同位素与射线装置安全和防护条例》，生产、销售、使用放射性同位素和射线装置的单位申请辐射安全许可证应当具备哪些基本条件？
dev,Q008,1,1,1,1,True,False,False,CLEAN,根据《精神卫生法》，精神障碍患者住院治疗的法定基本原则是什么？
dev,Q009,1,1,1,1,True,False,False,CLEAN,根据《医师法》，国家对医师实行的定期考核制度考核周期是多久？不合格如何处理？
dev,Q010,1,1,1,1,True,False,False,CLEAN,根据《医疗事故处理条例》，患者在医疗机构死亡后，尸检应当在多长时间内进行？具备冻存条件的可延长多久？
dev,Q011,1,1,1,1,True,False,False,CLEAN,根据《医疗纠纷预防和处理条例》，医疗纠纷双方当事人可以通过哪些法定途径解决争议？
dev,Q012,1,1,1,1,True,False,False,CLEAN,根据《中医药法》，国家发展中医药事业的基本方针和政策是什么？
dev,Q013,2,2,2,2,True,False,False,CLEAN,《食品安全法实施条例》与《食品安全法》在食品追溯体系建立上具有什么法律渊源关系？上位法对生产经营者有何强制要求？
dev,Q014,2,2,2,2,True,False,False,CLEAN,《医疗废物管理条例》依据哪两部上位法制定？对于传染病病人产生的医疗废物在交接处置前有何特殊消毒例外要求？
dev,Q015,2,1,2,2,True,False,False,CLEAN,《中华人民共和国医师法》施行后，原《中华人民共和国执业医师法》的法律效力发生了何种变化？具体生效与废止日期是何时？
dev,Q016,2,1,2,2,True,False,False,CLEAN,《麻醉药品和精神药品管理条例》施行时废止了哪一部旧行政法规？该条例的上位立法依据是什么？
dev,Q017,2,1,2,2,True,False,False,CLEAN,现行《放射性同位素与射线装置安全和防护条例》自哪年施行？同时废止了哪一部1989年的旧条例？
dev,Q018,2,1,2,2,True,False,False,CLEAN,《医疗事故处理条例》何时正式施行？宣告废止了国务院哪部旧法规？
dev,Q019,3,3,3,3,True,False,False,CLEAN,医疗机构配制制剂需经哪级部门批准？配制的制剂在使用上有何严格限制？医师开具本机构制剂需遵循什么规则？
dev,Q020,3,3,3,3,True,False,False,CLEAN,医疗机构承担疫苗预防接种任务必须符合哪些法定资质条件？执行接种的医务人员和传染病预防接种规划如何衔接？
dev,Q021,3,3,3,3,True,False,False,CLEAN,用人单位组织劳动者进行上岗前、在岗期间和离岗时的职业健康检查，承担检查的医疗机构需要满足什么准入条件？费用由谁承担？
dev,Q022,3,3,3,3,True,False,False,CLEAN,医师在执业中发现甲类传染病病人时应在几小时内报告？对伴随产生的传染病医疗废物转运与暂存有何时间红线？
dev,Q023,3,3,3,3,True,False,False,CLEAN,执业医师开具麻醉药品和第一类精神药品处方需要取得什么资格？专用处方开具管理有何法定特殊限制？
dev,Q024,3,3,3,3,True,False,False,CLEAN,我国将病原微生物分为哪四类？涉及第一类、第二类高致病性病原微生物与生物安全法监测预警和传染病防治如何协同联动？
dev,Q025,2,2,2,2,True,False,False,CLEAN,根据《生物安全法》与《传染病防治法》，对新发突发重大传染病疫情，国家建立了何种防范与应急控制体系？
dev,Q026,2,2,2,2,True,False,False,CLEAN,医疗机构实施细则与医师法关于医务人员医德医风与职业道德评价是如何衔接规定的？
dev,Q027,2,2,2,2,True,False,False,CLEAN,精神障碍的诊断结论必须由何种资质的医师作出？非精神科医师是否具备作出精神障碍诊断的资格？
dev,Q028,2,2,2,2,True,False,False,CLEAN,在因抢救生命垂危患者等紧急情况下不能取得患者或近亲属意见时，医师享有什么法定的紧急处置权？需要履行何种批准手续？
dev,Q029,2,1,2,2,True,False,False,CLEAN,《艾滋病防治条例》对感染者隐私保护有何强制规定？对感染者向谁履行告知义务作出了例外要求？
dev,Q030,2,2,2,2,True,False,False,CLEAN,《血吸虫病防治条例》在防治方针上如何体现上位法《传染病防治法》的预防为主原则？重点治理措施是什么？
dev,Q031,2,2,2,2,True,False,False,CLEAN,发生医疗纠纷需要判定是否构成医疗事故时，医疗事故技术鉴定工作由谁负责组织？首次鉴定由哪个级别的医学会承担？
dev,Q032,2,2,2,2,True,False,False,CLEAN,医疗机构发布中医医疗广告需要向哪一级中医药主管部门申请审查？广告内容必须以什么为准？
dev,Q033,3,2,3,3,True,False,False,CLEAN,食品生产企业未按规定建立追溯体系且销售不符合安全标准的食品，将面临行政处罚和消费者何种标准的惩罚性民事赔偿？
dev,Q034,3,2,3,3,True,False,False,CLEAN,医疗机构从非法渠道购进假劣药品且拒不执行进货查验验收制度的，将面临何种行政处罚？情节严重的对医疗机构资质有何影响？
dev,Q035,3,3,3,3,True,False,False,CLEAN,疾病预防控制机构向接种单位配送疫苗时如何保障质量？执业医师在开展规范预防接种操作中的法定履职要求是什么？
dev,Q036,3,2,3,3,True,False,False,CLEAN,用人单位未参加工伤保险，劳动者被诊断患有职业病后其医疗和生活保障待遇由谁承担？基本医疗卫生法如何保障公民健康权益？
dev,Q037,3,3,3,3,True,False,False,CLEAN,医疗机构收治甲类传染病病人时应采取何种控制措施？医师在处置过程中对隔离人员和相关医疗废弃物安全管理有哪些闭环责任？
dev,Q038,3,2,3,3,True,False,False,CLEAN,医疗机构麻醉药品和第一类精神药品应当如何储存保管？处方至少应当保存多少年备查？医师超量开具将承担什么后果？
dev,Q039,3,2,3,3,True,False,False,CLEAN,高致病性病原微生物菌（毒）种样本在运输途中发生被盗、被抢、丢失或泄漏时，承运单位和护送人必须在多少小时内报告？向哪些部门报告？
dev,Q040,3,2,3,3,True,False,False,CLEAN,医疗机构任用未取得医师执业资格的人员独立从事医疗卫生技术工作，卫生行政部门可对其作出何种处罚？情节严重的如何处理？
dev,Q041,3,2,3,3,True,False,False,CLEAN,精神障碍患者非自愿住院治疗的法定除外情形是什么？谁有权将发生伤害他人行为的疑似患者送医就诊？
dev,Q042,3,2,3,3,True,False,False,CLEAN,《医师法》取代旧《执业医师法》后，在医师多机构执业与基层医疗服务倾斜上有何制度创新？如何配合分级诊疗？
dev,Q043,3,2,3,3,True,False,False,CLEAN,当事人对设区的市级医学会首次医疗事故技术鉴定结论有异议的，应当在收到结论后多少日内申请再次鉴定？再次鉴定由谁组织？
dev,Q044,3,2,3,3,True,False,False,CLEAN,医疗机构对就诊的艾滋病病毒感染者或患者在诊疗权利上有何强制性保障？医疗机构能否因其患有艾滋病推诿治疗其他疾病？
dev,Q045,3,2,3,3,True,False,False,CLEAN,医疗废物集中处置单位运送医疗废物时应当使用何种运输工具？运送途中发生医疗废物流失或泄漏时应当如何处置？
dev,Q046,3,2,3,3,True,False,False,CLEAN,生产中药饮片必须按照什么标准进行炮制？中医药法对道地中药材的保护和发展有何专门扶持政策？
dev,Q047,3,2,3,3,True,False,False,CLEAN,国家对食品添加剂生产实行何种制度？食品生产企业超限量超范围使用食品添加剂发现安全隐患后，应当履行何种召回与报告义务？
dev,Q048,3,2,3,3,True,False,False,CLEAN,国家对特殊管理药品的批发实行何种准入？医疗机构购进麻醉药品和第一类精神药品在结算方式上有何绝对禁止性规定？
dev,Q049,1,1,1,1,True,False,False,CLEAN,根据《药品管理法》，药品广告的内容应当以什么为准？处方药广告在发布媒介上有何严格限制？
dev,Q050,1,1,1,1,True,False,False,CLEAN,根据《基本医疗卫生与健康促进法》，国家基本公共卫生服务项目由谁负责免费向全体公民提供？费用如何筹措？
dev,Q051,2,2,2,2,True,False,False,CLEAN,设置床位在100张以上的综合医院，其设置审批应当由哪一级卫生行政部门办理？审批应当依据什么规划？
dev,Q052,2,2,2,2,True,False,False,CLEAN,医师跨执业地点增加执业机构（多点执业）需要履行什么法定手续？在基层医疗机构执业有何优待政策？
dev,Q053,1,1,1,1,True,False,False,CLEAN,《麻醉药品和精神药品管理条例》在2013年和2016年分别通过国务院的什么决定进行了两次重要行政法规修订？
dev,Q054,1,1,1,1,True,False,False,CLEAN,《病原微生物实验室生物安全管理条例》在深化行政审批制度改革中，通过国务院何种决议进行了第二次修订？
